No.,Time,Source,Destination,Protocol,Length,Ping,seq,ttl
1064,1123.468795,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,174/44544,128 (reply in 1065)
1065,1123.468847,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,174/44544,128 (request in 1064)
1100,1157.161919,192.168.100.2,192.168.200.2,ICMP,242,Echo (ping) request,200/51200,128 (reply in 1101)
1101,1157.164485,192.168.200.2,192.168.100.2,ICMP,242,Echo (ping) reply,200/51200,126 (request in 1100)
1103,1158.167132,192.168.100.2,192.168.200.2,ICMP,242,Echo (ping) request,201/51456,128 (reply in 1104)
1104,1158.169544,192.168.200.2,192.168.100.2,ICMP,242,Echo (ping) reply,201/51456,126 (request in 1103)
1105,1159.182801,192.168.100.2,192.168.200.2,ICMP,242,Echo (ping) request,202/51712,128 (reply in 1106)
1106,1159.185438,192.168.200.2,192.168.100.2,ICMP,242,Echo (ping) reply,202/51712,126 (request in 1105)
1108,1160.198409,192.168.100.2,192.168.200.2,ICMP,242,Echo (ping) request,203/51968,128 (reply in 1109)
1109,1160.200949,192.168.200.2,192.168.100.2,ICMP,242,Echo (ping) reply,203/51968,126 (request in 1108)
1110,1161.214075,192.168.100.2,192.168.200.2,ICMP,242,Echo (ping) request,204/52224,128 (reply in 1111)
1111,1161.216600,192.168.200.2,192.168.100.2,ICMP,242,Echo (ping) reply,204/52224,126 (request in 1110)
1115,1162.229739,192.168.100.2,192.168.200.2,ICMP,242,Echo (ping) request,205/52480,128 (reply in 1116)
1116,1162.232322,192.168.200.2,192.168.100.2,ICMP,242,Echo (ping) reply,205/52480,126 (request in 1115)
1118,1163.245369,192.168.100.2,192.168.200.2,ICMP,242,Echo (ping) request,206/52736,128 (reply in 1119)
1119,1163.247960,192.168.200.2,192.168.100.2,ICMP,242,Echo (ping) reply,206/52736,126 (request in 1118)
1137,1187.524916,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,74/18944,126 (reply in 1138)
1138,1187.524972,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,74/18944,128 (request in 1137)
1140,1188.535583,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,75/19200,126 (reply in 1141)
1141,1188.535643,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,75/19200,128 (request in 1140)
1142,1189.551251,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,76/19456,126 (reply in 1143)
1143,1189.551311,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,76/19456,128 (request in 1142)
1145,1190.569274,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,77/19712,126 (reply in 1146)
1146,1190.569335,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,77/19712,128 (request in 1145)
1147,1191.584555,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,78/19968,126 (reply in 1148)
1148,1191.584605,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,78/19968,128 (request in 1147)
1152,1192.600473,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,79/20224,126 (reply in 1153)
1153,1192.600532,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,79/20224,128 (request in 1152)
1155,1193.603767,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,80/20480,126 (reply in 1156)
1156,1193.603817,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,80/20480,128 (request in 1155)
1158,1194.610204,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,81/20736,126 (reply in 1159)
1159,1194.610256,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,81/20736,128 (request in 1158)
1160,1195.625564,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,82/20992,126 (reply in 1161)
1161,1195.625624,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,82/20992,128 (request in 1160)
1163,1196.638523,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,83/21248,126 (reply in 1164)
1164,1196.638585,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,83/21248,128 (request in 1163)
1165,1197.649873,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,84/21504,126 (reply in 1166)
1166,1197.649937,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,84/21504,128 (request in 1165)
1168,1198.659266,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,85/21760,126 (reply in 1169)
1169,1198.659318,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,85/21760,128 (request in 1168)
1170,1199.665637,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,86/22016,126 (reply in 1171)
1171,1199.665697,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,86/22016,128 (request in 1170)
1173,1200.668722,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,87/22272,126 (reply in 1174)
1174,1200.668773,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,87/22272,128 (request in 1173)
1175,1201.683167,192.168.200.2,192.168.100.2,ICMP,1242,Echo (ping) request,88/22528,126 (reply in 1176)
1176,1201.683232,192.168.100.2,192.168.200.2,ICMP,1242,Echo (ping) reply,88/22528,128 (request in 1175)
1188,1215.515061,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,89/22784,126 (reply in 1189)
1189,1215.515123,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,89/22784,128 (request in 1188)
1191,1216.522534,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,90/23040,126 (reply in 1192)
