No.,Time,Source,Destination,Protocol,Length,Ping,seq,ttl
1365,1267.018623,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,140/35840,126 (reply in 1366)
1366,1267.018684,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,140/35840,128 (request in 1365)
1367,1267.621549,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,225/57600,128 (reply in 1368)
1368,1267.624580,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,225/57600,126 (request in 1367)
1369,1268.026469,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,141/36096,126 (reply in 1370)
1370,1268.026529,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,141/36096,128 (request in 1369)
1372,1268.637209,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,226/57856,128 (reply in 1373)
1373,1268.640448,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,226/57856,126 (request in 1372)
1374,1269.041797,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,142/36352,126 (reply in 1375)
1375,1269.041859,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,142/36352,128 (request in 1374)
1376,1269.652826,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,227/58112,128 (reply in 1377)
1377,1269.655916,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,227/58112,126 (request in 1376)
1379,1270.052778,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,143/36608,126 (reply in 1380)
1380,1270.052840,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,143/36608,128 (request in 1379)
1381,1270.668478,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,228/58368,128 (reply in 1382)
1382,1270.671505,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,228/58368,126 (request in 1381)
1383,1271.068647,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,144/36864,126 (reply in 1384)
1384,1271.068707,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,144/36864,128 (request in 1383)
1385,1271.684117,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,229/58624,128 (reply in 1386)
1386,1271.687309,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,229/58624,126 (request in 1385)
1388,1272.080588,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,145/37120,126 (reply in 1389)
1389,1272.080647,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,145/37120,128 (request in 1388)
1390,1272.699749,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,230/58880,128 (reply in 1391)
1391,1272.702786,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,230/58880,126 (request in 1390)
1393,1273.715372,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,231/59136,128 (reply in 1394)
1394,1273.718556,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,231/59136,126 (request in 1393)
1396,1274.731008,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,232/59392,128 (reply in 1397)
1397,1274.734094,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,232/59392,126 (request in 1396)
1400,1275.746680,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,233/59648,128 (reply in 1401)
1401,1275.749791,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,233/59648,126 (request in 1400)
1403,1276.762254,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,234/59904,128 (reply in 1404)
1404,1276.765334,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,234/59904,126 (request in 1403)
1405,1277.777955,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,235/60160,128 (reply in 1406)
1406,1277.781043,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,235/60160,126 (request in 1405)
1408,1278.793553,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,236/60416,128 (reply in 1409)
1409,1278.796662,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,236/60416,126 (request in 1408)
1410,1279.762373,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) request,214/54784,128 (reply in 1411)
1411,1279.762438,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) reply,214/54784,128 (request in 1410)
1412,1279.809207,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,237/60672,128 (reply in 1413)
1413,1279.812334,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,237/60672,126 (request in 1412)
1415,1280.769432,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) request,215/55040,128 (reply in 1416)
1416,1280.769485,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) reply,215/55040,128 (request in 1415)
1417,1280.824825,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,238/60928,128 (reply in 1418)
1418,1280.827976,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,238/60928,126 (request in 1417)
1419,1281.785087,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) request,216/55296,128 (reply in 1420)
1420,1281.785139,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) reply,216/55296,128 (request in 1419)
1421,1281.840467,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,239/61184,128 (reply in 1422)
1422,1281.843536,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,239/61184,126 (request in 1421)
1426,1282.800712,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) request,217/55552,128 (reply in 1427)
1427,1282.800765,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) reply,217/55552,128 (request in 1426)
1428,1282.856142,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,240/61440,128 (reply in 1429)
1429,1282.859241,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,240/61440,126 (request in 1428)
1431,1283.816427,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) request,218/55808,128 (reply in 1432)
1432,1283.816479,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) reply,218/55808,128 (request in 1431)
1433,1283.871779,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,241/61696,128 (reply in 1434)
1434,1283.874873,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,241/61696,126 (request in 1433)
1440,1284.887379,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,242/61952,128 (reply in 1441)
1441,1284.890495,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,242/61952,126 (request in 1440)
1442,1285.903016,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,243/62208,128 (reply in 1443)
1443,1285.906127,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,243/62208,126 (request in 1442)
1452,1296.337265,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,244/62464,128 (reply in 1453)
1453,1296.339441,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,244/62464,128 (request in 1452)
1454,1297.340680,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,245/62720,128 (reply in 1455)
1455,1297.342837,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,245/62720,128 (request in 1454)
1457,1298.356334,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,246/62976,128 (reply in 1458)
1458,1298.358499,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,246/62976,128 (request in 1457)
1459,1299.371980,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,247/63232,128 (reply in 1460)
1460,1299.374142,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,247/63232,128 (request in 1459)
1462,1300.387583,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,248/63488,128 (reply in 1463)
1463,1300.389674,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,248/63488,128 (request in 1462)
1464,1301.403232,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,249/63744,128 (reply in 1465)
1465,1301.405464,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,249/63744,128 (request in 1464)
1467,1302.418880,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,250/64000,128 (reply in 1468)
1468,1302.420974,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,250/64000,128 (request in 1467)
1470,1303.434473,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,251/64256,128 (reply in 1471)
1471,1303.436640,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,251/64256,128 (request in 1470)
1473,1304.450111,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,252/64512,128 (reply in 1474)
1474,1304.452218,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,252/64512,128 (request in 1473)
1477,1305.465749,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,253/64768,128 (reply in 1478)
1478,1305.467983,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,253/64768,128 (request in 1477)
1480,1306.481442,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,254/65024,128 (reply in 1481)
1481,1306.483611,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,254/65024,128 (request in 1480)
1482,1307.497079,192.168.100.2,192.168.100.1,ICMP,942,Echo (ping) request,255/65280,128 (reply in 1483)
1483,1307.499263,192.168.100.1,192.168.100.2,ICMP,942,Echo (ping) reply,255/65280,128 (request in 1482)
